domain,length,entropy,label
ygw5f2micmbp5ye8t582b.site,21,3.6897037321995474,dga
femo.info,4,2.0,legit
fime.info,4,2.0,legit
bicuma.org,6,2.584962500721156,legit
fomidimo.org,8,2.25,legit
bubimami.info,8,2.25,legit
guumgnlxn047gp.site,14,3.1820058147602133,dga
mucacidu.com,8,2.5,legit
femifa.net,6,2.2516291673878226,legit
bumocobicu.net,10,2.5219280948873624,legit
mamu.info,4,1.5,legit
dx8popqmcpefx75zbx.xyz,18,3.6416041678685933,dga
mi1ewfibq8xa511uoq.site,18,3.6835423624332306,dga
bn4jp18mft3j41bhk.info,17,3.616874605956222,dga
dljootvgeacc0cwpa890.site,20,3.784183719779189,dga
rnzj2o1xj4f5l3.info,14,3.6644977792004614,dga
t3j6gioxy26mzmer1.info,17,3.85216872360328,dga
e4qvzfv8yu58c.site,13,3.3927474104487847,dga
x35uaf3we8.site,10,3.1219280948873624,dga
dibudimace.info,10,2.9219280948873623,legit
bubilocabu.org,10,2.6464393446710157,legit
caloce.info,6,2.2516291673878226,legit
b94dyyi119ih.info,12,2.918295834054489,dga
d6xesslb2q.xyz,10,3.1219280948873624,dga
j4mt8fnecqvcjw9zole3s.info,21,4.106603137064474,dga
o1ukgo8oua5fisv.info,15,3.456564762130954,dga
cumememude.info,10,2.1709505944546685,legit
sy0x4knsf4il.site,12,3.2516291673878226,dga
mufifofufo.net,10,2.1219280948873624,legit
1hmqt68pdx4n1rlr6c.site,18,3.8365916681089787,dga
lemo.info,4,2.0,legit
lifidu.com,6,2.2516291673878226,legit
dedulode.com,8,2.1556390622295662,legit
buubtiih3dq91e8z2.info,17,3.7345216647797512,dga
dabafobi.net,8,2.5,legit
leca.org,4,2.0,legit
dobululibe.com,10,2.721928094887362,legit
5hbpkt9a90foh3hj5s6r04.xyz,22,3.970573095811685,dga
medalemilo.com,10,2.721928094887362,legit
lemudema.com,8,2.5,legit
mimabamo.com,8,2.1556390622295662,legit
dolocabe.net,8,2.75,legit
ormbf82f6zm5u6.info,14,3.3787834934861753,dga
mufudididi.info,10,2.1709505944546685,legit
2a681ta05x0bk.info,13,3.3927474104487847,dga
colufefedo.info,10,2.721928094887362,legit
mufo.info,4,2.0,legit
sheu0ncjuuzo1p3j0lslc1.top,22,3.6978458230844122,dga
4c4ut7wms0xv4iicpactr1.site,22,3.8453509366224363,dga
lalu.info,4,1.5,legit
9yvi7f16xbxtlnv5moij.info,20,4.021928094887363,dga
buyyug5gnv56vktx1.xyz,17,3.4992275471326924,dga
a0hr2nfvph.info,10,3.1219280948873624,dga
memidilicu.net,10,2.6464393446710157,legit
mflw2ar2i0qk1e.xyz,14,3.6644977792004614,dga
vhqmrz8jpt6rcbk4oaa61zy.top,23,4.1757358691004915,dga
mucoca.info,6,2.2516291673878226,legit
cedufumo.org,8,2.75,legit
ducu.com,4,1.5,legit
mebulicade.net,10,3.1219280948873624,legit
fr2p3yvb5ul5nwqvr.info,17,3.7345216647797512,dga
o232i1zu0mm3ah.xyz,14,3.3787834934861753,dga
cofa.info,4,2.0,legit
luca.org,4,2.0,legit
3s8ke2wt1q3tmy4gpy.xyz,18,3.8365916681089787,dga
n22pxgx8wdzrmh3fnbd.top,19,3.826874881864638,dga
bedabamo.net,8,2.5,legit
melomi.com,6,2.2516291673878226,legit
mudibi.org,6,2.2516291673878226,legit
dola.net,4,2.0,legit
mg83vgd3kew9owa.site,15,3.506890595608519,dga
bpmbjpi4hn3qxkhktgb.xyz,19,3.6818808028034025,dga
5w8q5qx3awtv7.site,13,3.238901256602631,dga
camalofo.org,8,2.5,legit
xphzd54adsap.info,12,3.084962500721156,dga
4d9zqfz61ii49.top,13,3.0850551027564768,dga
044msusdfo8cl.site,13,3.3927474104487847,dga
ladocacofu.org,10,2.721928094887362,legit
modoci.info,6,2.2516291673878226,legit
aworlqb8gyq9n2ou.info,16,3.75,dga
j2wlnc8n2d7gyt2dady.info,19,3.5368867237421675,dga
o679o2xz36jwb4gs0fh.site,19,4.037401197654112,dga
00jtyl84potj3d90.top,16,3.452819531114783,dga
dalomami.org,8,2.5,legit
mzveuv5n4hr3c8j.xyz,15,3.773557262275186,dga
a6or8z86oc1iqz4j.info,16,3.5,dga
3aq0r5lv646stq8p.xyz,16,3.75,dga
bocolu.info,6,2.2516291673878226,legit
mica.info,4,2.0,legit
lkcdxsn1qv3cgd8lk.info,17,3.616874605956222,dga
cefacocefi.info,10,2.4464393446710155,legit
docide.org,6,2.2516291673878226,legit
tyctlj20otybgfvpax5n.info,20,3.9841837197791894,dga
kkubhmt69s98.info,12,3.2516291673878226,dga
dofifufimi.com,10,2.3709505944546687,legit
593gv7qex1b8.site,12,3.584962500721156,dga
dulu.com,4,1.5,legit
l1g5519jn7qschpt9a72mv.info,22,4.095795255000934,dga
deci.com,4,2.0,legit
mamaba.net,6,1.4591479170272448,legit
4d1hxk4o95rdkd.site,14,3.1820058147602133,dga
ducilo.net,6,2.584962500721156,legit
debelume.org,8,2.4056390622295662,legit
6fvlzjuxyzt2.info,12,3.4182958340544896,dga
cimu.net,4,2.0,legit
epsof1gg2ktbcudswx1jp7.top,22,4.095795255000934,dga
bobilale.com,8,2.5,legit
cucediba.org,8,2.75,legit
y9vl8ma1fvp4bg.info,14,3.6644977792004614,dga
mifame.com,6,2.2516291673878226,legit
n509hxeg6u02k.xyz,13,3.546593564294939,dga
20o3ogbb8h57w.info,13,3.3927474104487847,dga
lulemi.info,6,2.2516291673878226,legit
jjk6bgsqjw.top,10,2.8464393446710154,dga
mulubide.org,8,2.75,legit
aww8fgu2qrz.top,11,3.2776134368191157,dga
bicidifimu.net,10,2.5219280948873624,legit
gn8yc64ey5jlhbq.xyz,15,3.773557262275186,dga
k0h80k994r.xyz,10,2.721928094887362,dga
alfs04injr7.info,11,3.4594316186372973,dga
mumimi.net,6,1.4591479170272448,legit
labo.com,4,2.0,legit
bebuloda.net,8,2.75,legit
itatonubr9.site,10,3.1219280948873624,dga
bicali.com,6,2.2516291673878226,legit
dk3z4t48oy.info,10,3.1219280948873624,dga
w86ngcpcmjtni9nwri1.site,19,3.6818808028034025,dga
momumomedo.com,10,2.0464393446710156,legit
demicifeli.com,10,2.6464393446710157,legit
av3jcjudt5.top,10,3.1219280948873624,dga
2am7smc67okcxp.top,14,3.3787834934861753,dga
didemebi.net,8,2.25,legit
x99qwb0hwm8lswu652f.xyz,19,3.8924071185928764,dga
cufudebu.org,8,2.4056390622295662,legit
vgpmm82i1lr3pe29gd8afp.info,22,3.8796640049025943,dga
cobada.info,6,2.2516291673878226,legit
x2ei7xzurphb.site,12,3.4182958340544896,dga
bocomufici.org,10,2.721928094887362,legit
ta5mheajh7gpng4b62zdhtz.info,23,3.9690016298759927,dga
defi.com,4,2.0,legit
cimude.info,6,2.584962500721156,legit
mocica.net,6,2.2516291673878226,legit
ers4mrbrmp2ac19.xyz,15,3.456564762130954,dga
mvg0ch236i5a7d9146ll.top,20,4.1219280948873624,dga
mifo.info,4,2.0,legit
cedimafode.org,10,2.9219280948873623,legit
cadoci.com,6,2.2516291673878226,legit
ydgdvr8x2sh4.info,12,3.4182958340544896,dga
g9o9yp6sdyy0.info,12,3.0220552088742005,dga
cababemubi.info,10,2.6464393446710157,legit
71n8mtzx272hpoevb9oo.top,20,3.8841837197791893,dga
scjrirdpn8hawxuf9qi0sud.info,23,4.088779347361361,dga
a51liy8o69wezc1b3eu.top,19,4.037401197654112,dga
malo.info,4,2.0,legit
dalodulubu.org,10,2.4464393446710155,legit
dima.info,4,2.0,legit
uwu260rv57.top,10,3.1219280948873624,dga
fefofi.com,6,1.792481250360578,legit
t38rzbu612rym8pa.info,16,3.75,dga
6g26oc7t3bd4z1g52efuj.xyz,21,4.106603137064474,dga
nx2q7pvj07dzr81c12m9oq.top,22,4.095795255000934,dga
4xpycwhe4f1do89.top,15,3.773557262275186,dga
r0v6rast5j284wv9.xyz,16,3.75,dga
mimadulo.org,8,2.75,legit
i5syleg89jrfzi1.top,15,3.773557262275186,dga
bifibebo.net,8,2.1556390622295662,legit
qywekse8p7.info,10,3.1219280948873624,dga
qod4k7yjpchm.info,12,3.584962500721156,dga
lifu.net,4,2.0,legit
fsu0lmi8x76rkq4.top,15,3.906890595608519,dga
lilefulo.com,8,2.4056390622295662,legit
camu.org,4,2.0,legit
bececemi.info,8,2.1556390622295662,legit
cobo.com,4,1.5,legit
lumicimucu.info,10,2.2464393446710154,legit
1z0shzbuk3xf1gp1.top,16,3.577819531114783,dga
bamubamu.com,8,2.0,legit
badicoca.net,8,2.5,legit
x1mrggexvbps.top,12,3.2516291673878226,dga
beli.net,4,2.0,legit
bacucila.info,8,2.5,legit
ledodo.net,6,1.9182958340544896,legit
cabefo.net,6,2.584962500721156,legit
dolidicu.com,8,2.5,legit
febude.info,6,2.2516291673878226,legit
dofulo.net,6,2.2516291673878226,legit
ducifefu.info,8,2.5,legit
aperlh2vh683.top,12,3.4182958340544896,dga
lafeba.net,6,2.2516291673878226,legit
4uvg692bf5mlt.xyz,13,3.7004397181410926,dga
lidamocubu.info,10,3.1219280948873624,legit
bamefa.com,6,2.2516291673878226,legit
becali.info,6,2.584962500721156,legit
mifefelaca.net,10,2.721928094887362,legit
jx4xtbcdpq9ytx.site,14,3.3248629576173565,dga
ou83mwjmjntlgb8ci8w.top,19,3.6818808028034025,dga
dubo.net,4,2.0,legit
bolobolebi.org,10,2.1709505944546685,legit
eyoou0w78aqpsfzve9l4uw.site,22,4.095795255000934,dga
sesa3cnshd.xyz,10,2.8464393446710154,dga
lafami.org,6,2.2516291673878226,legit
ftjw3zk3ajmlttflpn1fpj.top,22,3.5383105956150063,dga
bodobulofo.org,10,2.321928094887362,legit
13ylgzcpkr8se.top,13,3.7004397181410926,dga
rkeaylrfn2v.top,11,3.2776134368191157,dga
codofubofe.net,10,2.6464393446710157,legit
4yakxc8l0gfk.info,12,3.4182958340544896,dga
e8tbix592any7zdvdzpczz.info,22,4.004886164091842,dga
madi.net,4,2.0,legit
9a8oczuqdkw9u.info,13,3.3927474104487847,dga
bufecadibu.net,10,2.9219280948873623,legit
didofudofi.com,10,2.2464393446710154,legit
difa.net,4,2.0,legit
fudocaba.info,8,2.75,legit
bime.info,4,2.0,legit
bido.info,4,2.0,legit
fidobucimo.net,10,2.9219280948873623,legit
dulefo.com,6,2.584962500721156,legit
micalumucu.org,10,2.4464393446710155,legit
mabali.org,6,2.2516291673878226,legit
mili.info,4,1.5,legit
madi.net,4,2.0,legit
goavws97xgck5i0gqmmhzn3.info,23,4.229871195093384,dga
bicabu.info,6,2.2516291673878226,legit
bude.info,4,2.0,legit
fafodobume.info,10,2.9219280948873623,legit
tfpk4eud1z1j.xyz,12,3.4182958340544896,dga
lufome.com,6,2.584962500721156,legit
s4rg1lq5xvthga9.top,15,3.773557262275186,dga
nhlla92uhcinkf.info,14,3.3787834934861753,dga
mufilacilu.net,10,2.721928094887362,legit
46s6e1wlrqqxqq1d8n8xe.xyz,21,3.535174565635903,dga
pdhbxz52x1tex2wxs.info,17,3.4992275471326924,dga
bmeegrl8h39xlj8lpaukr.info,21,3.880179922675738,dga
dsk8xhsr9z9ocxl.site,15,3.506890595608519,dga
babicido.org,8,2.5,legit
fodeco.org,6,2.2516291673878226,legit
im0m0j19qnaekcq4eo.site,18,3.7254805569978675,dga
lofebode.info,8,2.5,legit
p4wyj9dak64.site,11,3.2776134368191157,dga
ojslyqkxb1tjc.xyz,13,3.546593564294939,dga
6di5eeijg7kpfxwv.info,16,3.75,dga
k7eofdls941kp.info,13,3.546593564294939,dga
cl6kaz139q6to1krf7.xyz,18,3.8365916681089787,dga
v5o2hgkiib25x1b7x8g04c.top,22,3.913977073182752,dga
ducifibu.info,8,2.5,legit
skbn8pfputbhsw02byle.top,20,3.8841837197791893,dga
bidumele.info,8,2.75,legit
qyahpy2pcm3g7n4ytu.site,18,3.794653473544342,dga
f8k5h9j0uno3f3a81tqkz.top,21,4.011365041826379,dga
pzm6wzq0es.info,10,3.1219280948873624,dga
o7v0vu57923titkq.xyz,16,3.625,dga
bulu.info,4,1.5,legit
cedido.net,6,2.2516291673878226,legit
qypw47ltos55zw8.top,15,3.640223928941852,dga
bedelamuma.com,10,2.721928094887362,legit
52se3qmctnudjo8xdkk.info,19,4.037401197654112,dga
a7gbyjddmrksqjdsn8cw2.site,21,3.9754180179138334,dga
meca.net,4,2.0,legit
dimala.net,6,2.2516291673878226,legit
l7fyqqe0ec.xyz,10,2.9219280948873623,dga
comofolo.org,8,2.0,legit
jotinif1heb.site,11,3.2776134368191157,dga
ztn8gmbbbshnleeq2.info,17,3.572469458770135,dga
fadefo.com,6,2.2516291673878226,legit
4n29gauphj8366q8.site,16,3.75,dga
cici.org,4,1.0,legit
sw2863c2fwlp8z2y4m8lb2r.top,23,3.795088586397732,dga
dofa.net,4,2.0,legit
dadufofuba.info,10,2.5219280948873624,legit
wqf6bh3llzcf0tu32qv.info,19,3.826874881864638,dga
dimedubu.info,8,2.5,legit
99fu34kgy97cdvp48ne9yj.top,22,3.913977073182752,dga
budilefe.org,8,2.75,legit
mobodabo.com,8,2.1556390622295662,legit
mufudice.com,8,2.75,legit
gup3hr2pjgdsy0pkuum.top,19,3.6421498816369042,dga
cufi.com,4,2.0,legit
badofada.info,8,2.1556390622295662,legit
99aft69n3vxdo3v94x2h.top,20,3.6219280948873624,dga
boca.com,4,2.0,legit
celofubeda.org,10,3.1219280948873624,legit
n9u47yul38v8wq4mpr9tot.site,22,4.004886164091843,dga
mm7081b6ou4ce2bp0.top,17,3.7345216647797512,dga
z2n3q82hr6vvlqv.site,15,3.323231428797621,dga
trxg8wjai7sx50.site,14,3.6644977792004614,dga
2f11b0oiis7gvuqkaosc.xyz,20,3.9219280948873627,dga
vmeogkkc06guu9.xyz,14,3.3787834934861753,dga
lafaco.info,6,2.2516291673878226,legit
lubucecu.org,8,2.1556390622295662,legit
bl2set6u3l.xyz,10,3.1219280948873624,dga
demu.net,4,2.0,legit
sn1qwp7aqsked.site,13,3.3927474104487847,dga
ciludomo.com,8,2.75,legit
8vm8zmgauculrp7p9aw9k0k.info,23,3.9148663038831,dga
difeducoco.com,10,2.721928094887362,legit
fiboculacu.net,10,2.9219280948873623,legit
sh1sr7uxkjs7.xyz,12,3.0220552088742005,dga
22f52uh5bgz0c.site,13,3.180832987205441,dga
bumifu.org,6,2.2516291673878226,legit
zoz53s2klzsa.info,12,3.0220552088742005,dga
dobu.net,4,2.0,legit
cululomaba.org,10,2.721928094887362,legit
ludodabo.org,8,2.5,legit
n2khqopd9bdo4ccooj.top,18,3.5032583347756456,dga
k8n21l2ruqnbmzsy8.site,17,3.7345216647797512,dga
macobubi.net,8,2.75,legit
tn7tlhxcmf26b46jmv4.info,19,3.826874881864638,dga
1vcr3fv9ciabtym.xyz,15,3.640223928941852,dga
mumemefu.org,8,1.9056390622295665,legit
aqxpdh3tkz6thsxooi4j.site,20,3.9219280948873627,dga
macudufalo.net,10,2.9219280948873623,legit
403ouo2qtcoqz.top,13,3.180832987205441,dga
mofa.org,4,2.0,legit
modumemuma.org,10,2.321928094887362,legit
mebede.org,6,1.792481250360578,legit
muludici.info,8,2.5,legit
e77r08bzzqbwggclfkx.site,19,3.826874881864638,dga
5xrzyg301jbs3hyatc.top,18,3.94770277922009,dga
5wvo01z8tubcijvzynze8y.site,22,3.970573095811685,dga
mobecodubi.info,10,2.9219280948873623,legit
bolelu.net,6,2.2516291673878226,legit
t2o90s1me4xla5gz2.xyz,17,3.9698157824268097,dga
63pnwdds54s8ag1iqxzxczd.top,23,4.0559581516151235,dga
falalu.com,6,1.9182958340544896,legit
lodaba.org,6,2.2516291673878226,legit
1fqivw328kcv.info,12,3.4182958340544896,dga
fafo.com,4,1.5,legit
malu.org,4,2.0,legit
yea4anmxc7qksnh8ois8s6e.info,23,3.9690016298759927,dga
bobabu.info,6,1.792481250360578,legit
c15k75i90za.info,11,3.2776134368191157,dga
modidecuci.net,10,2.721928094887362,legit
colibu.com,6,2.584962500721156,legit
dafi.net,4,2.0,legit
cabelici.org,8,2.5,legit
mimumofece.info,10,2.6464393446710157,legit
macocicimi.net,10,2.1709505944546685,legit
bede.info,4,1.5,legit
